id|latitude|longitude
1e4ce9cc-d057-4476-ab31-75bde4540968|-18.3908716|31.17096992
3f137f48-ea77-48f0-9a78-eef42fc8d53e|-20.68637034|29.26140166
f06aa6bb-ad92-4f3f-a47b-5eab3293b7c0|-20.41429976|30.91776484
25c300b2-540b-4332-9be3-32b5a5fd46ca|-19.17734633|30.13212212
527a3eca-a854-4c3a-a630-302e0406f59d|-17.33808153|32.0272168
975e139c-ceeb-47fa-b40f-db81489ee633|-19.02550925|30.57168388
996d9816-78f4-40ba-9f75-3080872ac8f3|-19.67585164|30.08788514
81a5d6a4-a916-4662-9d00-1024a5def169|-19.40373928|32.01004245
a81c9957-bfb6-4acc-b397-123ad6ef6869|-18.64169246|26.21730414
9abf4da9-00de-4623-9382-69076adeae37|-21.25139267|30.45252853
faa3c2b8-a5ea-4932-8d67-96def62d6390|-18.83433516|27.12218636
7eada073-7388-4935-92f5-450b542a72fd|-17.30518103|31.70351618
625a4bae-8960-49a4-826b-ae7cb5df3ac1|-19.71086534|31.47606019
8c2cf563-efb0-495a-ac0a-82092fb9d31f|-17.08673051|30.04780836
37057cd8-729a-42a2-aa9c-736036bf968a|-19.75528526|31.67653419
5ac89c3f-c430-4ed4-a492-75d894c86b65|-19.75318155|28.94249443
f73e22f7-eba6-4641-a33a-cb948cf88be8|-17.7114622|29.92975689
412dafcd-ad96-4cb8-bac5-19084bfdfed9|-17.18955772|29.76882974
f5e61b85-a3e9-4716-84af-1b4d2b4a8306|-20.04026714|32.18681798
48eca319-e282-4c15-af68-204cd5e922be|-19.23116162|31.50203391
fa4eb1a5-0e88-47ba-baf2-c9497a6c1494|-16.59596694|30.58876784
030ea13f-8b39-4836-9e9a-9e3174ee05f0|-21.29620462|30.95351564
e5029986-818d-4baf-8963-9ea81586fff0|-19.53668054|28.03520305
6d1bc564-1eed-4c93-acde-0a644ddd94e8|-18.75793569|31.45954284
a6784226-e75d-415d-a0d1-050d553a99fc|-17.51660956|30.35577651
abac0001-f30c-4f57-8cdd-daa577449565|-20.64470087|30.20291389
cb627d42-73ff-4fc7-bc8d-f197b2893cd7|-20.11594561|28.24542368
fbc4ad9b-705b-4e00-a9b7-25e7eea8c61d|-19.23739285|27.24071439
f64ef959-2cdf-49f6-855f-8de212caf057|-19.36329912|30.52510763
0e01d299-e44a-4878-900b-8714cc31c786|-20.10700996|32.22555749
7ed5c192-d266-4882-be0f-3649bf5f9075|-17.63540726|32.01839364
1b32be18-ddc9-4e08-bdaa-4a22e65894f2|-20.0174253|31.18538382
00981a9e-71b9-410f-8680-16be8d77067f|-17.30114927|30.88573671
0c6b0c40-fc05-4a8a-bfba-07bcf811a466|-18.89549607|26.89119912
451e7473-f393-4606-8311-7f6cadea80e2|-19.18128962|30.08229716
c068e2cb-d1c3-4af1-ba6b-468e198a52e3|-17.40455513|30.4020172
42ed83f1-e1d9-458e-a469-f40a969e59ee|-20.3386457|31.80021897
32122843-628d-41f6-b776-5c8b88b8aa8e|-18.49787601|26.09347231
6a3655ca-7f69-400d-9dae-48750540a8fd|-17.52603581|31.49567293
0f312ded-cc9c-4e1e-a664-eeff4b97649c|-18.59082326|29.23116693
